Seychelles,3.4,20400.0,-4.21,73.4
Ireland,9.19,45700.0,-3.22,80.4
Japan,9.49,35800.0,-1.9,82.8
Czech Republic,7.88,28300.0,-1.43,77.5
Slovenia,9.41,28700.0,-0.987,79.5
Latvia,6.68,18300.0,-0.812,73.1
Bahamas,7.89,22900.0,-0.393,73.8
Singapore,3.96,72100.0,-0.046,82.7
Spain,9.54,32500.0,0.16,81.9
Lebanon,7.03,16300.0,0.238,79.8
Switzerland,11.5,55500.0,0.317,82.2
Italy,9.53,36200.0,0.319,81.7
Barbados,7.97,15300.0,0.321,76.7
Finland,8.95,39800.0,0.351,80.0
Grenada,5.86,11200.0,0.48,71.3
Slovak Republic,8.79,25200.0,0.485,75.5
Cape Verde,4.09,5830.0,0.505,72.5
Portugal,11.0,27200.0,0.643,79.8
Greece,10.3,28700.0,0.673,80.4
Germany,11.6,40400.0,0.758,80.1
Croatia,7.76,20100.0,0.821,76.3
Netherlands,11.9,45500.0,0.848,80.7
Austria,11.0,43200.0,0.873,80.5
Benin,4.1,1820.0,0.885,61.8
Morocco,5.2,6440.0,0.976,73.5
Sweden,9.63,42900.0,0.991,81.5
France,11.9,36900.0,1.05,81.4
Bulgaria,6.87,15300.0,1.11,73.9
Mauritius,6.0,15900.0,1.13,73.4
Belize,5.2,7880.0,1.14,71.4
Australia,8.73,41400.0,1.16,82.0
Togo,7.65,1210.0,1.18,58.7
United States,17.9,49400.0,1.22,78.7
Bosnia and Herzegovina,11.1,9720.0,1.4,76.8
Antigua and Barbuda,6.03,19100.0,1.44,76.8
Kiribati,11.3,1730.0,1.52,60.7
United Kingdom,9.64,36200.0,1.57,80.3
Montenegro,9.11,14000.0,1.6,76.4
Poland,7.46,21800.0,1.66,76.3
Samoa,6.47,5400.0,1.72,71.5
Estonia,6.03,22700.0,1.74,76.0
Israel,7.63,29600.0,1.77,81.4
Senegal,5.66,2180.0,1.85,64.0
Belgium,10.7,41100.0,1.88,80.0
Cameroon,5.13,2660.0,1.91,57.3
Central African Republic,3.98,888.0,2.01,47.5
Cyprus,5.97,33900.0,2.01,79.9
"Macedonia, FYR",7.09,11400.0,2.04,74.0
Kenya,4.75,2480.0,2.09,62.8
Turkmenistan,2.5,9940.0,2.31,67.9
Hungary,7.33,22300.0,2.33,74.5
Lithuania,7.04,21100.0,2.38,73.2
Niger,5.16,814.0,2.55,58.8
Panama,8.1,15400.0,2.59,77.8
Rwanda,10.5,1350.0,2.61,64.6
Vanuatu,5.25,2950.0,2.62,63.0
El Salvador,6.91,7300.0,2.65,74.1
Canada,11.3,40700.0,2.87,81.3
Maldives,6.33,10500.0,2.88,77.9
Guinea-Bissau,8.5,1390.0,2.97,55.6
Cambodia,5.68,2520.0,3.12,66.1
South Korea,6.93,30400.0,3.16,80.1
Denmark,11.4,44000.0,3.22,79.5
Romania,5.58,17800.0,3.53,73.7
Namibia,6.78,8460.0,3.56,58.6
Luxembourg,7.77,91700.0,3.62,81.3
Tonga,5.07,4980.0,3.68,69.9
New Zealand,10.1,32300.0,3.73,80.9
"Micronesia, Fed. Sts.",14.2,3340.0,3.8,65.4
Tunisia,6.21,10400.0,3.82,76.9
Malta,8.65,28300.0,3.83,80.3
Colombia,7.59,10900.0,3.86,76.4
Comoros,4.51,1410.0,3.87,65.9
Thailand,3.88,13500.0,4.08,76.6
Lesotho,11.1,2380.0,4.15,46.5
Philippines,3.61,5600.0,4.22,69.0
Fiji,4.86,7350.0,4.23,65.3
Gambia,5.69,1660.0,4.3,65.5
Mali,4.98,1870.0,4.37,59.5
St. Vincent and the Grenadines,4.47,9920.0,4.44,71.6
Albania,6.55,9930.0,4.49,76.3
Uruguay,8.35,17100.0,4.91,76.4
Guatemala,6.85,6710.0,5.14,71.3
Cote d'Ivoire,5.3,2690.0,5.39,56.3
Dominican Republic,6.22,11100.0,5.44,74.6
Haiti,6.91,1500.0,5.45,32.1
Iceland,9.4,38800.0,5.47,82.0
Liberia,11.8,700.0,5.47,60.8
Peru,5.08,9960.0,5.71,77.9
Guyana,5.38,5840.0,5.73,65.5
Serbia,10.4,12700.0,5.88,74.7
Norway,9.48,62300.0,5.95,81.0
Bhutan,5.2,6420.0,5.99,72.1
Paraguay,5.87,7290.0,6.1,74.1
South Africa,8.94,12000.0,6.35,54.3
Chad,4.53,1930.0,6.39,56.5
Costa Rica,10.9,13000.0,6.57,80.4
Burkina Faso,6.74,1430.0,6.81,57.9
Solomon Islands,8.55,1780.0,6.81,61.7
China,5.07,9530.0,6.94,74.6
Qatar,1.81,125000.0,6.98,79.5
Turkey,6.74,18000.0,7.01,78.2
Myanmar,1.97,3720.0,7.04,66.8
Bangladesh,3.52,2440.0,7.14,70.4
Suriname,7.01,14200.0,7.2,70.3
Malaysia,4.39,21100.0,7.27,74.5
Bahrain,4.97,41100.0,7.44,76.0
Ecuador,8.06,9350.0,7.47,76.7
Mozambique,5.21,918.0,7.64,54.5
Armenia,4.4,6700.0,7.77,73.3
Brazil,9.01,14500.0,8.41,74.2
Jordan,8.04,9470.0,8.43,75.8
Georgia,10.1,6730.0,8.55,72.8
Bolivia,4.84,5410.0,8.78,71.6
Madagascar,3.77,1390.0,8.79,60.8
Botswana,8.3,13300.0,8.92,57.1
Chile,7.96,19400.0,8.96,79.1
India,4.05,4410.0,8.98,66.2
Lao,4.47,3980.0,9.2,63.8
Tanzania,6.01,2090.0,9.25,59.3
Afghanistan,7.58,1610.0,9.44,56.2
Jamaica,4.81,8000.0,9.81,74.7
Kyrgyz Republic,6.18,2790.0,10.0,68.5
Egypt,4.66,9860.0,10.1,70.5
Uganda,9.01,1540.0,10.6,56.8
Pakistan,2.2,4280.0,10.9,65.3
Moldova,11.7,3910.0,11.1,69.7
Kuwait,2.63,75200.0,11.2,78.2
Eritrea,2.66,1420.0,11.6,61.7
Malawi,6.59,1030.0,12.1,53.1
Vietnam,6.84,4490.0,12.1,73.1
Burundi,11.6,764.0,12.3,57.7
Tajikistan,5.98,2110.0,12.5,69.6
United Arab Emirates,3.66,57600.0,12.5,76.5
Ukraine,7.72,7820.0,13.4,70.4
Azerbaijan,5.88,16000.0,13.8,69.1
